id,0,1,2,3,4,5,6,7
383,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
384,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
385,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
386,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
387,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
388,16.20,Luhman 16,Vel,06.50,L7,0.03 + 0.03,?,?
389,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
390,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
391,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
392,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
393,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
394,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
395,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
396,,,,,,,,
397,0.000−26.74,Sun,,0.000015813,G2,1,1,1
398,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71,25.4
399,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
400,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
401,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
402,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
403,0.08,Capella,α Aur,0043,G8,2.6,12,150
404,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
405,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
406, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
407,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
408,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
409,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
410,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
411,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
412,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
413,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
414,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
415,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
416,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
417,1.25,Mimosa,β Crucis,0350,B0.5,16,8.4,"34,000"
418,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
419,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
420,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
421,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
422,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
423,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
424,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
425,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
426,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
427,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
428,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
429,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
430,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
431,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
432,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
433,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
434,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
435,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
436,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
437,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
438,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
439,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
440,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
441,1.94,Peacock,α Pav,0180,B3,5.9,4.8,"2,200"
442,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
443,1.98,Mirzam,β CMa,0500,B1,13.5,10,"27,000"
444,1.98,Polaris,α UMi,0430,F8,5.4,39,"2,500"
445,2.00,Alphard,α Hya,0180,K3,3.0,50,780
446,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,"190,000"
447,2.42,Scheat,β Peg,0196,M2.5,2.1,95,"1,500"
448,2.98,Almaaz,ε Aur,0653,F0,15,140,"43,000"
449,3.35,Rasalgethi,α Her,0360,M5,2.8,280,"8,300"
450,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
451,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
452,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
453,3.83,V382 Carinae,Car,"08,900",G2,20,485,"212,000"
454,4,Eta Carinae,η Car,"07,500",O,100,60 - 881,"5,000,000"
455,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
456,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
457,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
458,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
459,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
460,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
461,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
462,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
463,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
464,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
465,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
466,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
467,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
468,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
469,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
470,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
471,7.20,HD 140283,Lib,0202,G0IV-V,0.81,2.04,4.82
472,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
473,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
474,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
475,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
476,8.9,UY Scuti,Sct,"05,100",M4,7 - 10,755,"86,300 - 87,100"
477,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
478,11.13,HE 1523-0901,Lib,"010,000",CEMP-no,0.80,27,730
479,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
480,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
481,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
482,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
483,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
484,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
485,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
486,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
487,16.20,Luhman 16,Vel,06.50,L7,0.03 + 0.03,?,?
488,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
489,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
490,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
491,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
492,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
493,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
494,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
495,,,,,,,,
496,0.000−26.74,Sun,,0.000015813,G2,1,1,1
497,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71,25.4
498,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
499,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
500,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
501,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
502,0.08,Capella,α Aur,0043,G8,2.6,12,150
503,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
504,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
505, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
506,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
507,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
508,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
509,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
510,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
511,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
512,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
513,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
514,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
515,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
516,1.25,Mimosa,β Crucis,0350,B0.5,16,8.4,"34,000"
517,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
518,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
519,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
520,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
521,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
522,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
523,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
524,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
525,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
526,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
527,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
528,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
529,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
530,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
531,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
532,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
533,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
534,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
535,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
536,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
537,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
538,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
539,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
540,1.94,Peacock,α Pav,0180,B3,5.9,4.8,"2,200"
541,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
542,1.98,Mirzam,β CMa,0500,B1,13.5,10,"27,000"
543,1.98,Polaris,α UMi,0430,F8,5.4,39,"2,500"
544,2.00,Alphard,α Hya,0180,K3,3.0,50,780
545,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,"190,000"
546,2.42,Scheat,β Peg,0196,M2.5,2.1,95,"1,500"
547,2.98,Almaaz,ε Aur,0653,F0,15,140,"43,000"
548,3.35,Rasalgethi,α Her,0360,M5,2.8,280,"8,300"
549,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
550,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
551,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
552,3.83,V382 Carinae,Car,"08,900",G2,20,485,"212,000"
553,4,Eta Carinae,η Car,"07,500",O,100,60 - 881,"5,000,000"
554,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
555,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
556,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
557,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
558,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
559,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
560,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
561,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
562,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
563,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
564,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
565,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
566,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
567,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
568,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
569,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
570,7.20,HD 140283,Lib,0202,G0IV-V,0.81,2.04,4.82
571,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
572,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
573,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
574,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
575,8.9,UY Scuti,Sct,"05,100",M4,7 - 10,755,"86,300 - 87,100"
576,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
577,11.13,HE 1523-0901,Lib,"010,000",CEMP-no,0.80,27,730
578,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
579,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
580,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
581,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
582,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
583,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
584,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
585,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
586,16.20,Luhman 16,Vel,06.50,L7,0.03 + 0.03,?,?
587,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
588,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
589,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
590,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
591,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
592,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
593,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
594,,,,,,,,
595,0.000−26.74,Sun,,0.000015813,G2,1,1,1
596,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71,25.4
597,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
598,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
599,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
600,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
601,0.08,Capella,α Aur,0043,G8,2.6,12,150
602,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
603,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
604, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
605,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
606,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
607,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
608,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
609,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
610,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
611,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
612,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
613,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
614,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
615,1.25,Mimosa,β Crucis,0350,B0.5,16,8.4,"34,000"
616,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
617,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
618,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
619,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
620,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
621,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
622,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
623,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
624,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
625,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
626,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
627,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
628,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
629,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
630,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
631,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
632,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
633,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
634,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
635,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
636,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
637,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
638,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
639,1.94,Peacock,α Pav,0180,B3,5.9,4.8,"2,200"
640,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
641,1.98,Mirzam,β CMa,0500,B1,13.5,10,"27,000"
642,1.98,Polaris,α UMi,0430,F8,5.4,39,"2,500"
643,2.00,Alphard,α Hya,0180,K3,3.0,50,780
644,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,"190,000"
645,2.42,Scheat,β Peg,0196,M2.5,2.1,95,"1,500"
646,2.98,Almaaz,ε Aur,0653,F0,15,140,"43,000"
647,3.35,Rasalgethi,α Her,0360,M5,2.8,280,"8,300"
648,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
649,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
650,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
651,3.83,V382 Carinae,Car,"08,900",G2,20,485,"212,000"
652,4,Eta Carinae,η Car,"07,500",O,100,60 - 881,"5,000,000"
653,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
654,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
655,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
656,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
657,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
658,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
659,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
660,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
661,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
662,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
663,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
664,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
665,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
666,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
667,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
668,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
669,7.20,HD 140283,Lib,0202,G0IV-V,0.81,2.04,4.82
670,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
671,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
672,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
673,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
674,8.9,UY Scuti,Sct,"05,100",M4,7 - 10,755,"86,300 - 87,100"
675,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
676,11.13,HE 1523-0901,Lib,"010,000",CEMP-no,0.80,27,730
677,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
678,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
679,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
680,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
681,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
682,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
683,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
684,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
685,16.20,Luhman 16,Vel,06.50,L7,0.03 + 0.03,?,?
686,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
687,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
688,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
689,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
690,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
691,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
692,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
693,,,,,,,,
694,0.000−26.74,Sun,,0.000015813,G2,1,1,1
695,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71,25.4
696,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
697,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
698,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
699,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
700,0.08,Capella,α Aur,0043,G8,2.6,12,150
701,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
702,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
703, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
704,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
705,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
706,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
707,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
708,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
709,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
710,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
711,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
712,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
713,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
714,1.25,Mimosa,β Crucis,0350,B0.5,16,8.4,"34,000"
715,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
716,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
717,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
718,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
719,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
720,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
721,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
722,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
723,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
724,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
725,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
726,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
727,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
728,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
729,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
730,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
731,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
732,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
733,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
734,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
735,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
736,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
737,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
738,1.94,Peacock,α Pav,0180,B3,5.9,4.8,"2,200"
739,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
740,1.98,Mirzam,β CMa,0500,B1,13.5,10,"27,000"
741,1.98,Polaris,α UMi,0430,F8,5.4,39,"2,500"
742,2.00,Alphard,α Hya,0180,K3,3.0,50,780
743,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,"190,000"
744,2.42,Scheat,β Peg,0196,M2.5,2.1,95,"1,500"
745,2.98,Almaaz,ε Aur,0653,F0,15,140,"43,000"
746,3.35,Rasalgethi,α Her,0360,M5,2.8,280,"8,300"
747,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
748,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
749,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
750,3.83,V382 Carinae,Car,"08,900",G2,20,485,"212,000"
751,4,Eta Carinae,η Car,"07,500",O,100,60 - 881,"5,000,000"
752,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
753,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
754,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
755,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
756,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
757,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
758,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
759,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
760,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
761,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
762,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
763,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
764,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
765,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
